0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1382,Diogo Porto,Brazil,Male,M40-44,39,9:40:28,176,53:23,63,5:04:00,173,3:33:25,319,Finisher
1697,Abelardo Ramos,Brazil,Male,M45-49,20,9:40:40,177,55:15,95,5:08:33,230,3:23:36,207,Finisher
908,Luiz Oliveira,Brazil,Male,M35-39,49,9:40:46,178,1:11:27,1001,5:07:25,216,3:13:11,101,Finisher
1097,Sebastiao Monteiro De Souza Junior,Brazil,Male,M40-44,40,9:41:08,179,54:02,79,5:20:55,440,3:14:57,123,Finisher
613,Gustavo Fiorante,Brazil,Male,M35-39,50,9:41:44,180,54:46,88,5:17:31,379,3:21:08,185,Finisher
869,Andre Mendez Vilhena,Brazil,Male,M35-39,51,9:41:45,181,57:43,181,4:54:24,69,3:43:28,498,Finisher
560,Bjarki Freyr Runarsson,Iceland,Male,M25-29,11,9:41:47,182,1:00:01,299,5:08:17,228,3:26:55,236,Finisher
1427,Emiliano Battista,Argentina,Male,M40-44,41,9:41:58,183,55:13,94,5:18:11,391,3:19:19,172,Finisher
112,Paulo Farina,Brazil,Male,M30-34,26,9:42:00,184,56:25,134,5:04:23,177,3:35:20,346,Finisher
636,Pedro Simon,Brazil,Male,M35-39,52,9:42:01,185,1:01:13,379,5:07:40,220,3:23:34,206,Finisher
1274,Rafael Leitao Teixeira Pinho,Brazil,Male,M40-44,42,9:42:03,186,1:00:09,307,4:55:22,79,3:38:26,417,Finisher
1071,Martin Capriotti,Argentina,Male,M40-44,43,9:42:11,187,59:56,292,5:01:26,142,3:32:25,309,Finisher
1227,Rogerio Giovanny Oliveira Silva,Brazil,Male,M40-44,44,9:42:30,188,1:08:11,797,5:18:32,395,3:05:56,53,Finisher
903,Marcelo Alves,Brazil,Male,M35-39,53,9:42:54,189,57:45,185,5:15:31,336,3:21:57,195,Finisher
219,Helvis Fernandes De Paula,Brazil,Male,M30-34,27,9:43:16,190,1:08:04,788,5:17:34,382,3:10:36,89,Finisher
339,Gonzalo Ruiz,Argentina,Male,M35-39,54,9:43:23,191,1:05:22,631,5:11:36,271,3:18:42,157,Finisher
1095,Rodrigo Aleluia,Brazil,Male,M40-44,45,9:43:39,192,1:07:36,754,5:03:40,169,3:24:59,221,Finisher
1390,Tulio Laia,Brazil,Male,M40-44,46,9:44:02,193,1:07:05,725,5:03:36,166,3:22:18,198,Finisher
